Country,Site,Inhabitants House surface area / 4m2 ,Pits per house,Mean pit L,Total liters per house,"Total caloric storage(wheat for Korea and Kazakstan, Millet for China) ",YRS_Storage,Estimated person p m2,Reference
China,Jiangzhai F010,1.50,1,,1000,2070000,0.39673913,4,Peterson and Shelach 2012
China,Jiangzhai F017,7.68,6,,8900,18423000,0.228087852,4,Peterson and Shelach 2012
China,Jiangzhai F020,2.13,2,,1600,3312000,0.351279438,4,Peterson and Shelach 2012
China,Jiangzhai F022,2.68,2,,1200,2484000,0.58959843,4,Peterson and Shelach 2012
China,Jiangzhai F024,3.75,8,,18700,38709000,0.053039991,4,Peterson and Shelach 2012
China,Jiangzhai F029,5.88,2,,6100,12627000,0.254736873,4,Peterson and Shelach 2012
China,Jiangzhai F097,2.65,3,,4900,10143000,0.143041999,4,Peterson and Shelach 2012
China,Jiangzhai F117,1.20,2,,4000,8280000,0.079347826,4,Peterson and Shelach 2012
China,Jiangzhai F119,0.80,3,,10900,22563000,0.019412312,4,Peterson and Shelach 2012
China,Jiangzhai F130,2.45,2,,2000,4140000,0.324003623,4,Peterson and Shelach 2012
China,Jiangzhai F131,3.30,1,,300,621000,2.90942029,4,Peterson and Shelach 2012
China,Jiangzhai F144,2.55,11,,26600,55062000,0.025355508,4,Peterson and Shelach 2012
China,Jiangzhai F139,2.08,1,,1800,3726000,0.304901369,4,Peterson and Shelach 2012
China,Jiangzhai F079,3.15,1,,1800,3726000,0.462862319,4,Peterson and Shelach 2012
China,Jiangzhai F88,4.28,2,,2100,4347000,0.538431677,4,Peterson and Shelach 2012
China,Jiangzhai F095,4.40,3,,4400,9108000,0.264492754,4,Peterson and Shelach 2012
China,Jiangzhai F098,4.65,2,,2100,4347000,0.585662526,4,Peterson and Shelach 2012
China,Jiangzhai F100,3.30,2,,2800,5796000,0.311723602,4,Peterson and Shelach 2012
China,Jiangzhai F104,1.20,1,,900,1863000,0.352657005,4,Peterson and Shelach 2012
China,Jiangzhai F108,2.98,1,,1800,3726000,0.437147746,4,Peterson and Shelach 2012
China,Jiangzhai F111,4.50,1,,8900,18423000,0.133732291,4,Peterson and Shelach 2012
China,Jiangzhai F112,2.85,1,,900,1863000,0.837560386,4,Peterson and Shelach 2012
China,Jiangzhai F127,2.53,1,,2100,4347000,0.318021049,4,Peterson and Shelach 2012
China,Jianghzai F036,9.93,2,,2400,4968000,1.093787742,4,Peterson and Shelach 2012
China,Jiangzhai F040,6.28,1,,2300,4761000,0.72160523,4,Peterson and Shelach 2012
China,Jiangzhai F052,4.53,1,,8200,16974000,0.145954843,4,Peterson and Shelach 2012
China,Jiangzhai F053,18.48,3,,132000,273240000,0.037018967,4,Peterson and Shelach 2012
China,Jiangzhai F060,5.78,3,,112000,231840000,0.013637908,4,Peterson and Shelach 2012
China,Jiangzhai F063,2.58,1,,136000,281520000,0.005007859,4,Peterson and Shelach 2012
China,Jiangzhai F066,2.35,1,,1000,2070000,0.621557971,4,Peterson and Shelach 2012
China,Jiangzhai F068,2.60,7,,33200,68724000,0.020713288,4,Peterson and Shelach 2012
China,Jiangzhai F070,2.25,2,,1800,3726000,0.330615942,4,Peterson and Shelach 2012
China,Jiangzhai F072,2.03,6,,36100,74727000,0.014836505,4,Peterson and Shelach 2012
China,Jiangzhai F074,17.58,1,,5200,10764000,0.893934643,4,Peterson and Shelach 2012
China,Jiangzhai F076,2.15,2,,3600,7452000,0.15796095,4,Peterson and Shelach 2012
Kazakstan,Tusuzai,,,3176.5,15375,8484431.5,1.549667854,5.5,Chang 2017
Kazakstan,Taldy Bulak 2,,,2357.7,,6297416.7,1.917021826,5.5,Chang 2017
